release_date,BAI00,BAI20,BAI30,BAI40,BAI50,BAI60,BAI80,BCI,BCTI,BDI,BDTI,BHSI,BLNG,BLPG,BPI,BSI,FBX,KAUI,KCCI,KCI,KJI,KLEI,KLWI,KMDI,KMEI,KNEI,KSAI,KSEI,KUEI,KUWI,KWAI,USRT,WCI,WCILASH,WCINYRD,WCIRDNY,WCIRDSH,WCISHGN,WCISHLA,WCISHNY,WCISHRD
1990-01-03,,,,,,,,,,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-16,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-23,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-24,,,,,,,,,,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-25,,,,,,,,,,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-26,,,,,,,,,,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-29,,,,,,,,,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-30,,,,,,,,,,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-31,,,,,,,,,,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-05,,,,,,,,,,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-06,,,,,,,,,,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-07,,,,,,,,,,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-08,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-12,,,,,,,,,,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-13,,,,,,,,,,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-14,,,,,,,,,,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-15,,,,,,,,,,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-19,,,,,,,,,,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-20,,,,,,,,,,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-21,,,,,,,,,,1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-22,,,,,,,,,,1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-23,,,,,,,,,,1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-26,,,,,,,,,,1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-27,,,,,,,,,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-28,,,,,,,,,,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-05,,,,,,,,,,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-06,,,,,,,,,,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-07,,,,,,,,,,1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-08,,,,,,,,,,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-12,,,,,,,,,,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-13,,,,,,,,,,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-14,,,,,,,,,,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-15,,,,,,,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-19,,,,,,,,,,1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-20,,,,,,,,,,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-21,,,,,,,,,,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-22,,,,,,,,,,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-23,,,,,,,,,,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-26,,,,,,,,,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-27,,,,,,,,,,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-28,,,,,,,,,,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-29,,,,,,,,,,1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-02,,,,,,,,,,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-03,,,,,,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-04,,,,,,,,,,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-05,,,,,,,,,,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-06,,,,,,,,,,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-09,,,,,,,,,,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-10,,,,,,,,,,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-11,,,,,,,,,,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-12,,,,,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-13,,,,,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-16,,,,,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-17,,,,,,,,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
